A,Z,N,2t,2j,n,energy,error
23,10,13,3.0,5.0,1.0,-62.7896,0.0
23,10,13,3.0,1.0,1.0,-61.72475,0.0
23,10,13,3.0,7.0,1.0,-60.98058,0.0
23,10,13,3.0,3.0,1.0,-60.91502,0.0
23,10,13,3.0,5.0,2.0,-60.46013,0.0
23,10,13,3.0,9.0,1.0,-60.30648,0.0
23,10,13,3.0,3.0,2.0,-59.46013,0.0
23,10,13,3.0,1.0,2.0,-59.28189,0.0
23,10,13,3.0,5.0,3.0,-59.06748,0.0
23,10,13,3.0,7.0,2.0,-59.014,0.0
23,10,13,3.0,11.0,1.0,-59.00113,0.0
23,10,13,3.0,3.0,3.0,-58.95432,0.0
23,10,13,3.0,9.0,2.0,-58.58133,0.0
23,10,13,3.0,7.0,3.0,-58.43141,0.0
23,10,13,3.0,9.0,3.0,-58.25174,0.0
23,10,13,3.0,5.0,4.0,-57.81592,0.0
23,10,13,3.0,3.0,4.0,-57.812,0.0
23,10,13,3.0,1.0,3.0,-57.64029,0.0
23,10,13,3.0,5.0,5.0,-57.26776,0.0
23,10,13,3.0,7.0,4.0,-57.19424,0.0
23,10,13,3.0,3.0,5.0,-57.13394,0.0
23,10,13,3.0,7.0,5.0,-56.99815,0.0
23,10,13,3.0,1.0,4.0,-56.88402,0.0
23,10,13,3.0,13.0,1.0,-56.87949,0.0
23,10,13,3.0,5.0,6.0,-56.83749,0.0
23,10,13,3.0,9.0,4.0,-56.74989,0.0
23,10,13,3.0,11.0,2.0,-56.66299,0.0
23,10,13,3.0,3.0,6.0,-56.57146,0.0
23,10,13,3.0,7.0,6.0,-56.55051,0.0
23,10,13,3.0,9.0,5.0,-56.3643,0.0
23,10,13,3.0,9.0,6.0,-56.28661,0.0
23,10,13,3.0,5.0,7.0,-56.27363,0.0
23,10,13,3.0,3.0,7.0,-56.12727,0.0
23,10,13,3.0,7.0,7.0,-56.11758,0.0
23,10,13,3.0,11.0,3.0,-56.11649,0.0
23,10,13,3.0,5.0,8.0,-56.02048,0.0
23,10,13,3.0,3.0,8.0,-55.82982,0.0
23,10,13,3.0,11.0,4.0,-55.71488,0.0
23,10,13,3.0,13.0,2.0,-55.63415,0.0
23,10,13,3.0,7.0,8.0,-55.63315,0.0
23,10,13,3.0,3.0,9.0,-55.62455,0.0
23,10,13,3.0,5.0,9.0,-55.5945,0.0
23,10,13,3.0,9.0,7.0,-55.57176,0.0
23,10,13,3.0,1.0,5.0,-55.51668,0.0
23,10,13,3.0,9.0,8.0,-55.38525,0.0
23,10,13,3.0,5.0,10.0,-55.35496,0.0
23,10,13,3.0,3.0,10.0,-55.1644,0.0
23,10,13,3.0,5.0,11.0,-55.15751,0.0
23,10,13,3.0,7.0,9.0,-55.07527,0.0
23,10,13,3.0,5.0,12.0,-55.04099,0.0
23,10,13,3.0,11.0,5.0,-54.92043,0.0
23,10,13,3.0,3.0,11.0,-54.89395,0.0
23,10,13,3.0,9.0,9.0,-54.86064,0.0
23,10,13,3.0,7.0,10.0,-54.81638,0.0
23,10,13,3.0,7.0,11.0,-54.75751,0.0
23,10,13,3.0,9.0,10.0,-54.69208,0.0
23,10,13,3.0,5.0,13.0,-54.65641,0.0
23,10,13,3.0,1.0,6.0,-54.58818,0.0
23,10,13,3.0,3.0,12.0,-54.48171,0.0
23,10,13,3.0,5.0,14.0,-54.39897,0.0
23,10,13,3.0,7.0,12.0,-54.26274,0.0
23,10,13,3.0,13.0,3.0,-54.18856,0.0
23,10,13,3.0,11.0,6.0,-54.1685,0.0
23,10,13,3.0,3.0,13.0,-54.06885,0.0
23,10,13,3.0,3.0,14.0,-54.02322,0.0
23,10,13,3.0,9.0,11.0,-53.99242,0.0
23,10,13,3.0,7.0,13.0,-53.89425,0.0
23,10,13,3.0,5.0,15.0,-53.88921,0.0
23,10,13,3.0,13.0,4.0,-53.87961,0.0
23,10,13,3.0,1.0,7.0,-53.86616,0.0
23,10,13,3.0,15.0,1.0,-53.81003,0.0
23,10,13,3.0,9.0,12.0,-53.80496,0.0
23,10,13,3.0,11.0,7.0,-53.80039,0.0
23,10,13,3.0,5.0,16.0,-53.78407,0.0
23,10,13,3.0,11.0,8.0,-53.70422,0.0
23,10,13,3.0,7.0,14.0,-53.66365,0.0
23,10,13,3.0,5.0,17.0,-53.65348,0.0
23,10,13,3.0,1.0,8.0,-53.59934,0.0
23,10,13,3.0,5.0,18.0,-53.59691,0.0
23,10,13,3.0,3.0,15.0,-53.58837,0.0
23,10,13,3.0,9.0,13.0,-53.50686,0.0
23,10,13,3.0,3.0,16.0,-53.47114,0.0
23,10,13,3.0,7.0,15.0,-53.4055,0.0
23,10,13,3.0,9.0,14.0,-53.36823,0.0
23,10,13,3.0,5.0,19.0,-53.3169,0.0
23,10,13,3.0,7.0,16.0,-53.29788,0.0
23,10,13,3.0,1.0,9.0,-53.27812,0.0
23,10,13,3.0,15.0,2.0,-53.27166,0.0
23,10,13,3.0,11.0,9.0,-53.18287,0.0
23,10,13,3.0,7.0,17.0,-53.17884,0.0
23,10,13,3.0,9.0,15.0,-53.15144,0.0
23,10,13,3.0,5.0,20.0,-53.13591,0.0
23,10,13,3.0,7.0,18.0,-53.01922,0.0
23,10,13,3.0,9.0,16.0,-53.00959,0.0
23,10,13,3.0,3.0,17.0,-52.9262,0.0
23,10,13,3.0,13.0,5.0,-52.9067,0.0
23,10,13,3.0,5.0,21.0,-52.89182,0.0
23,10,13,3.0,15.0,3.0,-52.89084,0.0
23,10,13,3.0,3.0,18.0,-52.82217,0.0
23,10,13,3.0,7.0,19.0,-52.77292,0.0
